period,group,sex,metric,value_pct
Apr-Jun 2022,Disabled,People,Unemployed,6.84124923730572
Apr-Jun 2022,Disabled,People,Economically active,56.2271839787154
Apr-Jun 2022,Disabled,People,Economically inactive,43.7728160212846
Apr-Jun 2022,Non-disabled,People,In Employment,81.6309282515155
Apr-Jun 2022,Non-disabled,People,Unemployed,3.18296233354837
Apr-Jun 2022,Non-disabled,People,Economically active,84.3146312044225
Apr-Jun 2022,Non-disabled,People,Economically inactive,15.6853687955775
Jul-Sep 2022,Disabled,People,In Employment,52.0933345868666
Jul-Sep 2022,Disabled,People,Unemployed,7.31618484964865
Jul-Sep 2022,Disabled,People,Economically active,56.2054275629041
Jul-Sep 2022,Disabled,People,Economically inactive,43.7945724370959
Jul-Sep 2022,Non-disabled,People,In Employment,82.081961011893
Jul-Sep 2022,Non-disabled,People,Unemployed,3.27325542958679
Jul-Sep 2022,Non-disabled,People,Economically active,84.8596335754282
Jul-Sep 2022,Non-disabled,People,Economically inactive,15.1403664245718
Oct-Dec 2022,Disabled,People,In Employment,52.6785570853982
Oct-Dec 2022,Disabled,People,Unemployed,7.42338981868321
Oct-Dec 2022,Disabled,People,Economically active,56.9026636233754
Oct-Dec 2022,Disabled,People,Economically inactive,43.0973363766246
Oct-Dec 2022,Non-disabled,People,In Employment,82.4397743256254
Oct-Dec 2022,Non-disabled,People,Unemployed,3.25360225832215
Oct-Dec 2022,Non-disabled,People,Economically active,85.2122417474886
Oct-Dec 2022,Non-disabled,People,Economically inactive,14.7877582525114
Jan-Mar 2023,Disabled,People,In Employment,52.9895710473968
Jan-Mar 2023,Disabled,People,Unemployed,6.44019950489651
Jan-Mar 2023,Disabled,People,Economically active,56.6371141953964
Jan-Mar 2023,Disabled,People,Economically inactive,43.3628858046036
Jan-Mar 2023,Non-disabled,People,In Employment,82.3518675029316
Jan-Mar 2023,Non-disabled,People,Unemployed,3.53850555351716
Jan-Mar 2023,Non-disabled,People,Economically active,85.3727883602516
Jan-Mar 2023,Non-disabled,People,Economically inactive,14.6272116397484
Apr-Jun 2023,Disabled,People,In Employment,52.9253642711783
Apr-Jun 2023,Disabled,People,Unemployed,7.21545786369645
Apr-Jun 2023,Disabled,People,Economically active,57.0411439800276
